date,duration,durationString,threads,memory,swap,renderer
May 21  2019 13:55:49,113,113 s,7,2300352,4998588,houdini
May 21  2019 13:56:17,66,66 s,7,2211836,4965300,houdini
May 21  2019 13:56:23,55,55 s,7,923976,3421384,houdini
May 21  2019 13:56:22,59,59 s,7,827804,3351248,houdini
May 21  2019 13:56:16,73,73 s,7,2552540,5299128,houdini
May 21  2019 13:55:51,114,114 s,7,2368796,5106612,houdini
May 21  2019 13:55:49,117,117 s,7,2709080,5495732,houdini
May 21  2019 13:56:06,89,89 s,7,952796,3515636,houdini
May 21  2019 13:56:19,64,64 s,7,1112144,3539552,houdini
May 21  2019 13:56:11,80,80 s,7,3096380,5892528,houdini
May 21  2019 13:56:14,76,76 s,7,2535472,5329840,houdini
May 21  2019 13:56:24,56,56 s,7,1633380,4128608,houdini
May 21  2019 13:56:07,87,87 s,7,953084,3555760,houdini
May 21  2019 13:55:48,121,2.0 m,7,2709280,5533620,houdini
May 21  2019 13:55:46,126,2.1 m,7,4163700,6973368,houdini
May 21  2019 13:56:29,50,50 s,7,870684,3355856,houdini
May 21  2019 13:56:08,85,85 s,7,3499804,6291896,houdini
May 21  2019 13:56:09,85,85 s,7,3498700,6308788,houdini
May 21  2019 13:56:29,46,46 s,7,629272,2940512,houdini
May 21  2019 13:55:46,127,2.1 m,7,3236756,6004152,houdini
May 21  2019 13:55:48,122,2.0 m,7,4178996,6971316,houdini
May 21  2019 13:56:09,83,83 s,7,3450900,6268848,houdini
May 21  2019 13:56:27,46,46 s,7,637048,2951780,houdini
May 21  2019 13:56:27,47,47 s,7,679412,3080916,houdini
May 21  2019 13:56:10,77,77 s,7,3402920,6186424,houdini
May 21  2019 13:55:48,123,2.0 m,7,4199296,6995888,houdini
May 21  2019 13:55:56,105,105 s,7,1002476,3547252,houdini
May 21  2019 13:56:04,95,95 s,7,1052540,3581060,houdini
May 21  2019 13:56:35,34,34 s,5,302228,1364476,houdini
May 21  2019 13:55:54,106,106 s,7,930404,3507440,houdini
May 21  2019 13:55:54,113,113 s,7,1160772,3602044,houdini
May 21  2019 13:56:28,42,42 s,5,300160,1360376,houdini
May 21  2019 13:55:56,107,107 s,7,1742412,4264292,houdini
May 21  2019 13:55:59,99,99 s,7,1281312,3733620,houdini
May 21  2019 13:56:20,66,66 s,7,2194212,4916148,houdini
May 21  2019 13:56:19,62,62 s,7,1912872,4443496,houdini
May 21  2019 13:56:02,95,95 s,7,1034896,3554400,houdini
May 21  2019 13:55:55,108,108 s,7,1583632,4099944,houdini
May 21  2019 13:56:02,94,94 s,7,933936,3514796,houdini
May 21  2019 13:56:08,92,92 s,7,1014276,3540088,houdini
May 21  2019 1:30:00,29447,8.1 h,7,1271944,4007380,houdini
May 21  2019 0:28:08,30745,8.5 h,7,1267052,3982800,houdini
May 21  2019 0:28:08,27676,7.6 h,7,1247780,3995092,houdini
May 21  2019 1:30:01,29315,8.1 h,7,1288996,4003284,houdini
May 21  2019 0:28:08,30102,8.3 h,7,1312800,3999184,houdini
May 21  2019 0:28:13,27667,7.6 h,7,1300988,3990992,houdini
May 21  2019 0:28:24,27640,7.6 h,7,1306008,3990996,houdini
May 21  2019 0:28:13,27660,7.6 h,8,1275244,3986896,houdini
May 21  2019 0:28:15,30747,8.5 h,7,1260584,3990996,houdini
May 21  2019 0:28:48,30085,8.3 h,7,1269500,3986900,houdini
May 21  2019 0:28:51,27635,7.6 h,7,1253960,3982804,houdini
May 21  2019 0:28:14,30160,8.3 h,7,1249040,3995096,houdini
May 21  2019 0:28:06,27759,7.7 h,7,1271792,4003280,houdini
May 21  2019 0:28:02,27766,7.7 h,7,1308900,4003276,houdini
May 21  2019 0:27:58,30773,8.5 h,7,1269760,3995088,houdini
May 21  2019 0:28:00,30753,8.5 h,7,1297544,3986896,houdini
May 21  2019 0:28:01,27661,7.6 h,7,1246168,3978708,houdini
May 21  2019 0:28:04,30754,8.5 h,7,1240236,3962328,houdini
May 21  2019 0:27:54,27724,7.7 h,7,1301992,4003280,houdini
May 21  2019 0:27:48,30717,8.5 h,7,1272884,4011472,houdini
May 21  2019 0:27:49,27688,7.6 h,7,1308868,4011476,houdini
May 21  2019 0:27:49,27695,7.6 h,7,1285540,3986896,houdini
May 21  2019 0:28:17,30748,8.5 h,7,1264072,3990996,houdini
May 21  2019 0:29:00,27629,7.6 h,7,1263728,3990992,houdini
May 21  2019 0:28:31,27645,7.6 h,7,1264936,3995084,houdini
May 21  2019 0:28:36,30145,8.3 h,7,1277420,3999188,houdini
May 21  2019 0:29:00,30110,8.3 h,7,1285012,3982808,houdini
May 21  2019 0:28:19,30688,8.5 h,7,1296184,3995092,houdini
May 21  2019 0:28:46,30091,8.3 h,7,1301796,3990992,houdini
May 21  2019 1:29:47,29156,8.0 h,7,1290568,3986904,houdini
May 21  2019 1:29:44,29452,8.1 h,7,1258388,3986904,houdini
May 21  2019 0:28:49,30097,8.3 h,7,1258252,3991000,houdini
May 21  2019 0:28:24,27680,7.6 h,7,1261700,3999188,houdini
May 21  2019 1:29:58,29377,8.1 h,7,1291976,3990992,houdini
May 21  2019 1:29:55,29357,8.1 h,8,1314992,4003284,houdini
May 21  2019 0:28:30,30109,8.3 h,7,1304332,3986896,houdini
May 21  2019 1:29:52,29468,8.1 h,7,1298744,3990992,houdini
May 21  2019 0:28:24,30774,8.5 h,7,1270424,3999184,houdini
May 21  2019 0:28:21,30757,8.5 h,7,1264540,3995088,houdini
May 21  2019 1:29:50,29475,8.1 h,7,1270292,3995088,houdini
Apr 5  2019 22:01:36,93,93 s,5,506580,5195864,maya arnold
Apr 5  2019 22:01:29,82,82 s,5,539732,4953180,maya arnold
Apr 5  2019 22:01:25,84,84 s,5,547472,5518240,maya arnold
Apr 5  2019 22:01:34,89,89 s,5,511604,5067928,maya arnold
Apr 5  2019 22:01:23,98,98 s,5,511984,5200572,maya arnold
Apr 5  2019 22:01:17,88,88 s,5,634908,5209084,maya arnold
Apr 5  2019 22:01:20,85,85 s,5,629000,5209004,maya arnold
Apr 5  2019 22:01:33,87,87 s,5,517152,5207272,maya arnold
Apr 5  2019 22:01:23,77,77 s,5,631428,5213100,maya arnold
Apr 5  2019 22:01:24,85,85 s,5,544832,5097380,maya arnold
Apr 5  2019 22:01:39,90,90 s,5,492484,5043644,maya arnold
Apr 5  2019 22:01:39,91,91 s,5,502640,5324080,maya arnold
Apr 5  2019 22:01:21,70,70 s,5,654920,5501572,maya arnold
Apr 5  2019 22:01:42,94,94 s,5,491724,5117644,maya arnold
Apr 5  2019 22:01:22,77,77 s,5,579816,5165424,maya arnold
Apr 5  2019 22:01:23,84,84 s,5,545596,5100428,maya arnold
Apr 5  2019 22:01:43,91,91 s,5,482088,5203024,maya arnold
Apr 5  2019 22:00:54,158,2.6 m,5,679300,6353156,maya arnold
Apr 5  2019 22:00:55,155,2.5 m,5,681892,6349804,maya arnold
Apr 5  2019 22:00:54,158,2.6 m,5,682788,6349264,maya arnold
Apr 5  2019 22:00:54,93,93 s,5,709756,6391812,maya arnold
Apr 5  2019 22:00:48,160,2.6 m,5,718420,6382456,maya arnold
Apr 5  2019 22:00:49,159,2.6 m,5,675896,6347972,maya arnold
Apr 5  2019 22:00:52,157,2.6 m,5,685924,6355724,maya arnold
Apr 5  2019 22:00:51,152,2.5 m,5,833156,6446060,maya arnold
Apr 5  2019 22:00:58,159,2.6 m,5,2458780,8254124,maya arnold
Apr 5  2019 22:00:57,156,2.6 m,5,653780,5239428,maya arnold
Apr 5  2019 22:01:07,93,93 s,5,653420,5108364,maya arnold
Apr 5  2019 22:01:09,90,90 s,5,652104,5103876,maya arnold
Apr 5  2019 22:01:01,85,85 s,5,721988,6392644,maya arnold
Apr 5  2019 22:01:50,85,85 s,5,439868,5133488,maya arnold
Apr 5  2019 22:01:47,88,88 s,5,473544,5026740,maya arnold
Apr 5  2019 22:01:00,157,2.6 m,5,834656,6672068,maya arnold
Apr 5  2019 22:01:29,75,75 s,5,550668,5099624,maya arnold
Apr 5  2019 22:01:09,87,87 s,5,657696,5505672,maya arnold
Apr 5  2019 22:01:11,94,94 s,5,623824,5208620,maya arnold
Apr 5  2019 22:01:31,83,83 s,5,536228,5085480,maya arnold
Apr 5  2019 22:01:15,83,83 s,5,655684,5239436,maya arnold
Apr 5  2019 22:01:13,88,88 s,5,637240,5212968,maya arnold
Jan 29  2019 10:26:20,142,2.3 m,5,396952,7409536,maya arnold
Feb 28  2019 13:31:19,20,20 s,0,0,0,houdini
May 26  2019 20:28:56,1007,16.7 m,5,685864,6390848,maya arnold
May 26  2019 20:28:58,1007,16.7 m,5,688608,6389884,maya arnold
May 26  2019 20:28:54,1004,16.7 m,5,683280,6381600,maya arnold
May 26  2019 20:28:46,1005,16.7 m,5,699308,6388768,maya arnold
May 26  2019 20:28:37,999,16.6 m,5,697144,6390948,maya arnold
May 26  2019 20:28:41,995,16.5 m,5,698440,6388916,maya arnold
May 26  2019 20:28:47,1002,16.7 m,5,676228,6438276,maya arnold
May 26  2019 20:28:43,1002,16.7 m,5,703796,6382096,maya arnold
Apr 9  2019 19:45:34,107,107 s,5,2515372,12555232,maya arnold
Apr 9  2019 19:45:33,12,12 s,0,0,0,unknown
Feb 28  2019 13:37:34,12850,3.5 h,5,1338900,3358272,houdini
Feb 28  2019 13:37:38,12923,3.5 h,5,1336100,3370660,houdini
Feb 28  2019 13:37:35,13819,3.8 h,5,1322184,3343684,houdini
Feb 28  2019 13:37:36,13824,3.8 h,5,1359908,3377996,houdini
Feb 28  2019 13:37:36,13132,3.6 h,5,1358952,3345388,houdini
Feb 28  2019 13:37:35,12988,3.6 h,5,1327136,3345584,houdini
Feb 28  2019 13:37:26,13552,3.7 h,5,1330764,3354284,houdini
Feb 28  2019 13:37:27,13151,3.6 h,5,1392152,3385528,houdini
Feb 28  2019 13:37:32,13768,3.8 h,5,1413856,3377608,houdini
Feb 28  2019 13:37:39,13056,3.6 h,5,1346024,3337860,houdini
Feb 28  2019 13:37:39,13835,3.8 h,5,1351352,3345128,houdini
Feb 28  2019 13:37:33,13571,3.7 h,5,1347040,3353160,houdini
Feb 28  2019 13:37:29,13331,3.7 h,5,1320952,3343804,houdini
Feb 28  2019 13:37:39,12324,3.4 h,5,1339612,3340516,houdini
Feb 28  2019 13:37:33,13353,3.7 h,5,1336740,3372588,houdini
Feb 28  2019 13:37:39,13091,3.6 h,5,1342352,3361136,houdini
Feb 28  2019 13:37:38,13184,3.6 h,5,1336180,3348752,houdini
Feb 28  2019 13:37:32,13561,3.7 h,5,1334364,3354012,houdini
Feb 28  2019 13:37:17,13513,3.7 h,5,1337736,3333484,houdini
Feb 28  2019 13:37:15,13615,3.7 h,5,1353356,3366572,houdini
Feb 28  2019 13:37:12,12904,3.5 h,5,1395856,3357076,houdini
Feb 28  2019 13:37:11,13316,3.6 h,5,1319584,3347832,houdini
Feb 28  2019 13:37:09,13627,3.7 h,5,1346196,3344368,houdini
Feb 28  2019 13:37:09,12876,3.5 h,5,1335576,3382328,houdini
Feb 28  2019 13:37:10,13387,3.7 h,5,1383456,3346612,houdini
Feb 28  2019 13:37:11,13279,3.6 h,5,1326428,3352648,houdini
Feb 28  2019 13:37:18,12236,3.3 h,5,1335300,3385880,houdini
Feb 28  2019 13:37:19,13315,3.6 h,5,1378388,3353060,houdini
Feb 28  2019 13:37:25,13389,3.7 h,5,1338480,3354244,houdini
Feb 28  2019 13:37:29,13196,3.6 h,5,1314928,3341548,houdini
Feb 28  2019 13:37:21,13282,3.6 h,7,1313196,3333728,houdini
Feb 28  2019 13:37:38,13463,3.7 h,5,1345332,3332812,houdini
Feb 28  2019 13:37:40,12975,3.6 h,5,1384116,3353928,houdini
Feb 28  2019 13:37:22,13075,3.6 h,5,1367276,3338708,houdini
Feb 28  2019 13:37:35,13066,3.6 h,5,1398180,3372724,houdini
Feb 28  2019 13:37:25,12579,3.4 h,5,1375176,3393368,houdini
Feb 28  2019 13:37:24,13909,3.8 h,5,1349968,3352304,houdini
Feb 28  2019 13:37:35,12834,3.5 h,7,1384984,3369620,houdini
Feb 28  2019 13:37:27,13767,3.8 h,5,1338512,3365988,houdini
Feb 28  2019 13:37:27,13601,3.7 h,6,1383176,3360704,houdini
Jan 29  2019 11:08:21,511,8.5 m,5,391120,7409580,maya arnold
May 25  2019 22:50:48,49003,13.6 h,5,388632,6145044,maya arnold
May 25  2019 23:00:54,1692,28.2 m,5,700932,6399832,maya arnold
May 25  2019 22:42:50,13167,3.6 h,5,703780,6457412,maya arnold
May 25  2019 22:43:02,13165,3.6 h,5,700868,6396864,maya arnold
May 25  2019 23:00:46,1686,28.1 m,5,701280,6387848,maya arnold
May 25  2019 22:50:39,49012,13.6 h,5,392544,6145044,maya arnold
May 25  2019 23:01:04,1676,27.9 m,5,706640,6390292,maya arnold
